,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
137,460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6
138,463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6
139,462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5
140,459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6
141,459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7
142,459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6
143,465656,Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6
144,465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4
145,461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6
146,464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4
147,461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6
148,467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6
149,464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6
150,464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4
151,467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2
152,467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6
153,460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6
154,466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6
155,461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6
156,465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6
157,459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6
158,466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6
159,459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6
160,465710,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6
161,460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6
162,462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6
163,463595,Female,No,32,No,Healthcare,1.0,Low,5.0,
164,467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6
165,465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6
166,462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6
167,463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6
168,465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3
169,464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4
170,459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6
171,465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6
172,459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6
173,464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6
174,458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6
175,467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6
176,464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3
177,461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6
178,467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6
179,463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6
180,466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6
181,462594,Male,Yes,52,No,Entertainment,,Average,5.0,Cat_4
182,462206,Female,No,29,Yes,Artist,,Low,1.0,Cat_4
183,460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6
184,467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6
185,460054,Male,Yes,38,Yes,Artist,,Low,2.0,Cat_6
186,459576,Female,Yes,85,No,Lawyer,,Low,,
187,467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7
188,467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6
189,460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6
190,459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6
191,465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6
192,459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6
193,467539,Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7
194,466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6
195,466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6
196,463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6
197,465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6
198,459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6
199,467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6
200,459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6
201,466065,Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3
202,464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4
203,460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6
204,459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6
205,466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6
206,461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3
207,466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6
208,461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6
209,464761,Female,Yes,50,No,Engineer,,Average,4.0,Cat_2
210,466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4
211,459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6
212,461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7
213,460516,Female,,85,No,Lawyer,0.0,High,1.0,Cat_3
214,461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6
215,462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3
216,459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6
217,462691,Male,Yes,25,No,Doctor,,Average,2.0,Cat_4
218,462934,Male,Yes,56,No,Executive,,High,2.0,Cat_6
219,465837,Male,No,62,Yes,,0.0,Low,1.0,Cat_6
220,464613,Female,No,35,,Artist,0.0,Low,3.0,Cat_6
221,467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6
222,463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6
223,464024,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7
224,460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3
225,461825,Female,No,56,No,Engineer,,Low,1.0,Cat_6
226,467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6
227,465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4
228,464801,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4
229,459429,Female,Yes,25,Yes,Healthcare,,Low,2.0,Cat_6
230,459888,Female,Yes,74,No,Lawyer,,High,2.0,Cat_6
231,463467,Female,No,23,No,Healthcare,0.0,Low,4.0,
232,462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6
233,461282,Male,No,21,No,Healthcare,0.0,Low,4.0,
234,460448,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3
235,464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2
236,462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7
237,467252,Female,No,33,Yes,,0.0,Low,4.0,
238,459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4
239,463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6
240,466947,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6
241,464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6
242,465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4
243,461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6
244,466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6
245,461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6
246,462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2
247,460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6
248,464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4
249,467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2
250,460738,Female,No,49,No,Engineer,1.0,Low,,Cat_7
251,466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2
252,459488,Male,Yes,47,No,Artist,,Average,4.0,Cat_6
253,467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6
254,465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6
255,462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6
256,466078,Female,Yes,51,No,Executive,,Low,1.0,Cat_6
257,460792,Female,No,42,No,Homemaker,11.0,Low,,Cat_6
258,460197,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2
259,459375,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6
260,463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6
261,460144,Female,No,46,Yes,Doctor,1.0,Low,,Cat_3
262,462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6
263,459637,Female,No,33,No,Engineer,,Low,4.0,Cat_6
264,465809,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4
265,466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2
266,467343,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6
267,466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4
268,464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4
269,464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6
270,460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6
271,462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6
272,464841,Male,,19,No,Entertainment,0.0,High,3.0,Cat_4
273,464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4
274,464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6
275,467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6
276,465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4
277,462075,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6
278,459494,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6
279,466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6
280,463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6
281,461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3
282,467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3
283,462408,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6
284,466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2
285,465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6
286,467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6
287,460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3
288,461197,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3
289,462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6
290,465058,Female,No,43,,Entertainment,,Low,1.0,Cat_6
291,464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6
292,459471,Female,No,32,No,Artist,,Low,8.0,Cat_6
293,464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4
294,462331,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6
295,466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3
296,465337,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7
297,460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1
298,466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6
299,461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3
300,465091,Male,Yes,63,Yes,Entertainment,,Average,3.0,Cat_6
301,459532,Female,Yes,27,Yes,Healthcare,,Low,2.0,Cat_6
302,466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6
303,466597,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6
304,464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6
305,463394,Male,Yes,41,Yes,Marketing,,High,2.0,Cat_6
306,462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3
307,463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6
308,464767,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4
309,464763,Female,Yes,49,No,Engineer,,Average,4.0,Cat_4
310,460718,Male,Yes,55,No,Executive,3.0,Low,,Cat_4
311,461989,Female,,57,Yes,Engineer,0.0,Average,4.0,Cat_2
312,466374,Male,Yes,83,No,Lawyer,,Low,1.0,Cat_4
313,463738,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6
314,465967,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6
315,462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6
316,467234,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6
317,466573,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6
318,463229,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5
319,459768,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6
320,462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6
321,467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6
322,467730,Male,No,18,No,Healthcare,,Low,4.0,Cat_6
323,459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2
324,460093,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3
325,467865,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4
326,465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4
327,464184,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6
328,462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4
329,464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6
330,465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4
331,464087,Female,No,32,No,Engineer,,Low,4.0,Cat_6
332,466627,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6
333,467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6
334,465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6
335,464622,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6
336,462083,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6
337,460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6
338,460255,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6
339,460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6
340,464306,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6
341,466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7
342,465192,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6
343,463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3
344,462391,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7
345,467086,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6
346,460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6
347,460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6
348,467264,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6
349,461646,Female,Yes,60,Yes,Artist,,High,4.0,Cat_6
350,463570,Male,Yes,35,Yes,Artist,,Average,4.0,Cat_6
351,465277,Female,No,53,Yes,Engineer,,Low,1.0,Cat_6
352,467426,Female,Yes,86,No,Lawyer,,Low,,Cat_6
353,466258,Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6
354,463719,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6
355,460032,Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6
356,465175,Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6
357,466610,Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6
358,459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3
359,464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6
360,459496,Female,No,42,Yes,Artist,,Low,3.0,Cat_6
361,459997,Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4
362,463382,Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6
363,460967,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6
364,465094,Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6
365,461229,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6
366,466442,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6
367,464527,Male,No,25,No,Executive,12.0,Low,3.0,Cat_6
368,463560,Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4
